2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Brookfield,00450000,      77,  19.9,        307,  46.9,  53.1,    .3,  13.4,  31.6
Brookline,00460000,"   4,512",  17.0,"      7,813",  49.2,  50.7,  10.9,  16.4,   9.6
Burlington,00480000,"   1,751",  16.1,"      3,554",  48.9,  51.2,   5.4,  12.5,  13.7
Cambridge,00490000,"   3,882",  15.1,"      7,155",  49.2,  50.7,   7.8,  21.1,  29.6
Canton,00500000,"   2,326",  18.8,"      3,336",  50.9,  49.0,   2.6,  11.5,  15.1
Cape Cod Lighthouse Charter (District),04320000,     150,  16.5,        239,  50.2,  49.8,   1.3,  20.5,  18.0
Cape Cod Regional Vocational Technical,08150000,     388,  13.6,        601,  34.8,  65.1,   2.7,  25.0,  41.1
Carlisle,00510000,     314,  18.1,        602,  47.3,  52.7,   2.2,  17.3,   4.5
Carver,00520000,     800,  17.6,"      1,563",  48.8,  51.2,   1.2,  20.5,  24.0
Central Berkshire,06350000,     711,  17.7,"      1,577",  47.9,  52.1,    .6,  14.6,  32.5
Chelmsford,00560000,"   2,429",  17.7,"      5,097",  48.2,  51.8,   4.4,  15.8,  13.1
Chelsea,00570000,"   1,941",  22.9,"      6,507",  47.8,  52.2,  39.5,  14.2,  66.8
Chesterfield-Goshen,06320000,      65,  14.6,        131,  47.3,  52.7,    .0,  20.6,  24.4
Chicopee,00610000,"   2,877",  17.9,"      7,453",  46.2,  53.8,   6.1,  19.0,  55.2
Christa McAuliffe Charter Public (District),04180000,     154,  21.3,        398,  48.5,  51.3,   3.5,  21.4,  30.7
City on a Hill Charter Public School Circuit Street (District),04370000,     110,   9.3,        211,  40.8,  59.2,  14.2,  21.8,  55.9
City on a Hill Charter Public School Dudley Square (District),35040000,     106,   8.9,        181,  49.7,  50.3,  22.7,  24.3,  63.5
City on a Hill Charter Public School New Bedford (District),35070000,      32,  12.6,        121,  43.0,  56.2,  24.0,  33.1,  78.5
Clarksburg,00630000,      93,  17.5,        194,  51.6,  48.5,    .0,  19.1,  29.4
Clinton,00640000,     797,  18.4,"      1,923",  46.3,  53.6,  13.2,  21.1,  40.2
Codman Academy Charter Public (District),04380000,     162,  14.5,        353,  49.9,  50.1,   9.4,  25.2,  66.0
Cohasset,00650000,     836,  19.1,"      1,502",  49.7,  50.2,    .2,  13.3,   5.7
Collegiate Charter School of Lowell (District),35030000,     344,  28.1,        933,  50.9,  49.0,  29.4,   7.2,  47.9
Community Charter School of Cambridge (District),04360000,     145,  13.7,        325,  58.2,  41.9,   7.7,  12.0,  40.9
Community Day Charter Public School - Gateway (District),04260000,     120,  20.0,        400,  48.8,  51.3,  22.0,  12.3,  60.8
Community Day Charter Public School - Prospect (District),04400000,     108,  22.2,        400,  50.8,  49.3,  28.8,  13.3,  56.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,     117,  20.1,        401,  50.4,  49.6,  24.2,  11.2,  57.6
Concord,00670000,"   1,304",  17.8,"      2,124",  48.9,  51.1,   2.9,  18.2,   7.8
Concord-Carlisle,06400000,     533,  19.3,"      1,287",  51.7,  48.1,    .6,  16.4,   6.4
Conservatory Lab Charter (District),04390000,     144,  17.4,        453,  52.1,  47.9,  17.4,  14.1,  56.1
Conway,00680000,      93,  14.7,        132,  43.9,  56.1,    .0,  22.0,  28.8
Danvers,00710000,"   2,083",  18.1,"      3,438",  48.7,  51.3,   1.1,  18.2,  18.9
Dartmouth,00720000,"   1,804",  18.4,"      3,592",  47.7,  52.3,   1.8,  16.9,  23.3
Dedham,00730000,"   1,092",  16.6,"      2,748",  48.3,  51.7,   7.0,  21.0,  22.8
Deerfield,00740000,     248,  17.2,        390,  50.5,  49.5,   1.5,  21.0,  20.0
