2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Northampton-Smith Vocational Agricultural,04060000,     418,  12.2,        504,  43.9,  56.2,   1.0,  40.5,  34.3
Northboro-Southboro,07300000,     773,  15.6,"      1,404",  50.5,  49.5,   1.4,  13.8,   7.3
Northborough,02130000,     571,  18.3,"      1,598",  47.9,  52.1,   5.8,  20.2,  13.6
Northbridge,02140000,     882,  18.3,"      2,049",  48.4,  51.6,   2.7,  17.4,  29.3
Northeast Metropolitan Regional Vocational Technical,08530000,     896,  18.7,"      1,281",  45.1,  54.9,   4.1,  20.0,  35.4
Northern Berkshire Regional Vocational Technical,08510000,     371,  15.3,        508,  40.0,  60.0,    .0,  16.3,  35.0
Norton,02180000,"   1,166",  19.0,"      2,439",  50.1,  49.9,   1.7,  20.8,  20.1
Norwell,02190000,"   1,052",  16.9,"      2,219",  48.3,  51.7,    .2,  15.8,   4.8
Norwood,02200000,"   1,272",  16.9,"      3,530",  49.5,  50.5,  13.1,  21.1,  28.9
Oak Bluffs,02210000,     241,  15.5,        437,  50.1,  49.9,  19.2,  23.8,  29.1
Old Colony Regional Vocational Technical,08550000,     249,  16.7,        556,  35.6,  64.2,    .0,  22.7,  17.6
Old Rochester,07400000,     654,  17.3,"      1,176",  48.1,  51.9,    .2,  12.8,  13.5
Old Sturbridge Academy Charter Public School (District),35150000,      50,  19.9,        239,  49.4,  50.6,   3.4,  22.6,  27.2
Orange,02230000,     221,  21.6,        562,  47.3,  52.7,   1.1,  28.7,  62.5
Orleans,02240000,     132,  16.7,        199,  53.3,  46.7,   9.6,  19.1,  28.6
Oxford,02260000,     625,  18.7,"      1,608",  49.5,  50.4,    .5,  16.4,  35.1
Palmer,02270000,     764,  15.2,"      1,289",  49.0,  51.1,   3.7,  18.8,  46.0
Pathfinder Regional Vocational Technical,08600000,     535,  12.2,        625,  38.4,  61.0,    .0,  28.2,  35.0
Paulo Freire Social Justice Charter School (District),35010000,     201,  14.9,        279,  56.3,  43.7,  10.0,  28.0,  81.0
Peabody,02290000,"   2,765",  19.0,"      6,060",  49.2,  50.8,   9.5,  18.9,  34.3
Pelham,02300000,      47,  17.0,        125,  44.8,  55.2,   2.4,  23.2,  19.2
Pembroke,02310000,"   1,158",  18.8,"      2,723",  48.3,  51.6,   1.5,  14.7,  14.0
Pentucket,07450000,"   1,312",  17.3,"      2,381",  46.8,  53.1,    .3,  21.5,  11.7
Petersham,02340000,      24,  17.3,        131,  55.0,  45.0,   2.3,  23.7,  27.5
Phoenix Academy Public Charter High School Lawrence (District),35180000,      25,  20.0,        174,  38.5,  60.9,  21.3,  24.1,  78.2
Phoenix Academy Public Charter High School Springfield (District),35080000,      34,  27.2,        189,  47.1,  52.9,  14.3,  31.2,  89.4
Phoenix Charter Academy (District),04930000,      47,  17.7,        209,  51.2,  48.8,  62.2,  12.0,  53.6
Pioneer Charter School of Science (District),04940000,     363,  18.3,        800,  51.4,  48.6,  22.3,   9.8,  38.1
Pioneer Charter School of Science II (PCSS-II) (District),35060000,     155,  17.3,        357,  54.6,  45.4,  20.2,  15.7,  27.7
Pioneer Valley,07500000,     447,  12.8,        694,  50.7,  49.3,    .1,  21.6,  24.8
Pioneer Valley Chinese Immersion Charter (District),04970000,     316,  16.9,        537,  51.4,  48.2,   3.4,  12.5,  19.0
Pioneer Valley Performing Arts Charter Public (District),04790000,     326,  12.4,        398,  67.6,  32.2,    .3,  24.1,  31.9
Pittsfield,02360000,"   2,444",  14.7,"      5,275",  48.6,  51.3,   5.3,  21.8,  54.9
Plainville,02380000,     132,  20.3,        719,  48.5,  51.5,   4.0,  20.3,  20.2
Plymouth,02390000,"   5,031",  16.7,"      7,428",  47.8,  52.2,   2.8,  20.3,  25.5
Plympton,02400000,     104,  15.4,        216,  47.2,  52.8,    .5,  15.7,  12.5
Prospect Hill Academy Charter (District),04870000,     441,  20.8,"      1,112",  49.3,  50.7,  13.9,  16.0,  45.9
Provincetown,02420000,      63,  12.6,        137,  54.7,  45.3,  24.8,  20.4,  41.6
Quabbin,07530000,     926,  19.5,"      2,160",  49.4,  50.6,    .3,  18.4,  27.2
Quaboag Regional,07780000,     577,  17.2,"      1,255",  48.6,  51.3,   1.4,  18.3,  40.3
Quincy,02430000,"   5,050",  16.3,"      9,727",  48.1,  51.9,  16.7,  18.6,  37.0
Ralph C Mahar,07550000,     637,  14.0,        640,  46.9,  53.0,    .6,  21.4,  42.7
Randolph,02440000,"   1,146",  18.5,"      2,884",  45.6,  54.4,  18.3,  20.8,  51.9
Reading,02460000,"   1,481",  18.8,"      4,167",  47.9,  52.0,   1.4,  18.0,   7.6
Revere,02480000,"   3,563",  19.2,"      7,607",  48.8,  51.2,  24.6,  15.4,  51.7
Richmond,02490000,     115,  16.6,        172,  47.7,  52.3,    .0,  17.4,  28.5
Rising Tide Charter Public (District),04830000,     294,  18.7,        645,  51.0,  49.0,    .5,  19.8,  13.0
River Valley Charter (District),04820000,     110,  15.9,        288,  55.9,  43.8,    .0,  17.0,   6.3
Rochester,02500000,     240,  19.4,        512,  47.5,  52.5,    .2,  20.1,  17.0
Rockland,02510000,"   1,106",  18.6,"      2,344",  48.9,  51.1,   8.2,  17.1,  38.5
Rockport,02520000,     505,  14.5,        851,  47.7,  52.3,    .9,  20.5,  20.3
Rowe,02530000,      25,  15.0,         73,  45.2,  54.8,    .0,  32.9,  38.4
Roxbury Preparatory Charter (District),04840000,     365,  25.3,"      1,598",  46.9,  53.1,  14.2,  16.6,  65.3
Sabis International Charter (District),04410000,     491,  26.5,"      1,572",  50.5,  49.6,   7.2,  15.0,  42.9
Salem,02580000,"   1,925",  16.1,"      3,696",  48.0,  52.0,  13.7,  24.0,  50.9
Salem Academy Charter (District),04850000,     230,  19.4,        490,  51.2,  48.6,   4.3,  16.7,  35.3
Sandwich,02610000,"   1,256",  18.0,"      2,492",  50.7,  49.3,   1.1,  18.6,  18.0
Saugus,02620000,"   1,242",  17.4,"      2,618",  47.8,  52.2,   6.5,  17.8,  34.6
Savoy,02630000,      61,   8.1,         58,  46.6,  53.5,    .0,  19.0,  44.8
Scituate,02640000,"   1,451",  19.2,"      2,989",  49.5,  50.5,    .4,  13.3,  10.3
Seekonk,02650000,     865,  17.3,"      2,093",  49.5,  50.5,   3.3,  17.5,  13.9
Seven Hills Charter Public (District),04860000,     234,  24.7,        666,  51.5,  48.5,  27.0,  13.7,  64.0
Sharon,02660000,"   1,657",  18.3,"      3,638",  48.7,  51.2,   3.9,  14.0,   9.3
Shawsheen Valley Regional Vocational Technical,08710000,     731,  15.1,"      1,260",  40.4,  59.6,    .0,  26.6,  14.0
Sherborn,02690000,     173,  19.8,        404,  47.3,  52.7,   3.2,  16.8,   2.2
Shrewsbury,02710000,"   2,544",  20.5,"      6,315",  49.8,  50.2,   3.2,  14.7,  12.4
Shutesbury,02720000,      55,  15.8,        127,  59.1,  40.9,    .0,  18.9,  35.4
Silver Lake,07600000,     807,  17.6,"      1,772",  47.7,  52.3,    .7,  17.3,  17.0
Sizer School: A North Central Charter Essential (District),04740000,     220,  13.3,        361,  44.9,  54.9,    .8,  24.1,  36.3
Somerset,02730000,     896,  21.5,"      1,763",  48.7,  51.3,   1.1,  18.1,  24.1
Somerset Berkley Regional School District,07630000,     559,  15.4,"      1,033",  48.8,  51.2,    .2,  12.5,  15.6
Somerville,02740000,"   2,028",  15.8,"      4,940",  47.4,  52.5,  21.8,  18.9,  43.4
South Hadley,02780000,     742,  16.5,"      1,923",  50.6,  49.4,   4.3,  19.8,  28.6
South Middlesex Regional Vocational Technical,08290000,     487,  13.8,        780,  41.0,  59.0,  16.0,  41.9,  49.5
South Shore Charter Public (District),04880000,     505,  17.9,"      1,003",  48.4,  51.4,  10.6,  18.1,  23.1
South Shore Regional Vocational Technical,08730000,     415,  15.6,        636,  31.0,  69.0,    .8,  28.3,  23.3
Southampton,02750000,     178,  17.7,        489,  50.3,  49.7,   2.0,  22.1,  13.3
Southborough,02760000,     507,  15.3,"      1,315",  46.8,  53.2,   7.7,  17.0,   6.5
Southbridge,02770000,     841,  17.9,"      1,970",  48.2,  51.8,  17.7,  20.3,  72.2
Southeastern Regional Vocational Technical,08720000,     800,  15.5,"      1,445",  50.9,  49.0,   2.4,  13.5,  35.9
Southern Berkshire,07650000,     520,  12.8,        679,  49.0,  50.7,   2.4,  17.5,  33.1
Southern Worcester County Regional Vocational Technical,08760000,     986,  14.0,"      1,152",  41.8,  58.3,    .4,  12.8,  23.6
Southwick-Tolland-Granville Regional School District,07660000,     777,  16.2,"      1,502",  49.4,  50.6,   3.2,  16.9,  25.3
Spencer-E Brookfield,07670000,     583,  16.5,"      1,440",  46.7,  53.3,   4.0,  21.9,  39.7
Springfield,02810000,"  15,121",  16.7,"     25,313",  47.8,  52.2,  16.3,  24.3,  79.7
Springfield Preparatory Charter School (District),35100000,      68,  31.9,        325,  46.5,  53.5,  14.8,  21.2,  69.2
Stoneham,02840000,"   1,260",  17.3,"      2,395",  48.6,  51.3,   4.1,  19.9,  18.0
Stoughton,02850000,"   2,035",  16.6,"      3,563",  47.7,  52.3,   7.0,  17.0,  34.8
Sturbridge,02870000,     236,  22.6,        906,  46.1,  53.9,   2.9,  14.2,  16.9
Sturgis Charter Public (District),04890000,     524,  14.5,        848,  54.8,  44.8,    .7,  15.2,  12.3
Sudbury,02880000,"   1,615",  19.9,"      2,686",  48.6,  51.3,   2.6,  18.7,   5.6
Sunderland,02890000,     155,  15.5,        225,  47.6,  52.4,   9.8,  21.3,  36.9
Sutton,02900000,     545,  19.3,"      1,372",  48.7,  51.3,   1.8,  18.2,  13.1
Swampscott,02910000,"   1,206",  17.4,"      2,243",  49.4,  50.5,   5.4,  17.1,  17.6
Swansea,02920000,     960,  18.7,"      2,100",  48.8,  51.2,    .5,  11.8,  22.1
TEC Connections Academy Commonwealth Virtual School District,39020000,     531,  42.2,"      2,347",  58.8,  41.2,   1.2,  19.6,  46.0
Tantasqua,07700000,"   1,272",  14.7,"      1,791",  49.8,  50.2,    .6,   9.8,  20.9
Taunton,02930000,"   3,259",  19.6,"      8,207",  49.6,  50.4,   6.0,  19.8,  47.7
Tewksbury,02950000,"   1,421",  19.9,"      3,349",  50.0,  49.9,   1.5,  16.7,  15.5
Tisbury,02960000,     192,  14.1,        305,  48.5,  51.5,  24.9,  15.1,  38.4
Topsfield,02980000,     204,  16.6,        645,  51.3,  48.7,    .2,  18.6,   4.7
Tri-County Regional Vocational Technical,08780000,     824,  15.7,        974,  40.4,  59.5,    .0,  29.0,  18.2
Triton,07730000,"   1,184",  17.7,"      2,352",  48.3,  51.7,   1.2,  16.5,  22.4
Truro,03000000,      71,  13.2,        114,  47.4,  52.6,    .9,  18.4,  32.5
Tyngsborough,03010000,"   1,033",  17.9,"      1,656",  49.2,  50.9,   4.1,  17.0,  14.5
UP Academy Charter School of Boston (District),04800000,     141,  19.5,        411,  48.2,  51.8,  23.8,  24.3,  74.2
UP Academy Charter School of Dorchester (District),35050000,     165,  22.3,        697,  49.8,  50.2,  28.1,  16.6,  68.6
Up-Island Regional,07740000,     190,  16.7,        409,  45.5,  54.5,   5.6,  20.3,  24.2
Upper Cape Cod Regional Vocational Technical,08790000,     356,  14.1,        692,  36.6,  63.4,    .0,  22.0,  27.2
Uxbridge,03040000,     670,  17.5,"      1,681",  46.0,  54.0,   2.3,  17.3,  21.1
Veritas Preparatory Charter School (District),04980000,     159,  24.8,        371,  54.2,  45.8,   3.0,  23.2,  75.2
Wachusett,07750000,"   3,185",  18.1,"      7,100",  49.7,  50.3,   1.8,  15.2,  12.0
Wakefield,03050000,"   1,419",  18.4,"      3,504",  48.8,  51.1,   2.5,  16.9,  13.0
Wales,03060000,      39,  18.7,        140,  46.4,  53.6,    .7,  22.1,  35.0
Walpole,03070000,"   1,395",  18.8,"      3,748",  48.6,  51.4,   3.8,  14.3,  12.4
Waltham,03080000,"   3,461",  16.1,"      5,815",  46.9,  53.1,  22.2,  16.0,  38.4
Ware,03090000,     423,  18.5,"      1,150",  47.9,  52.1,    .9,  19.7,  53.5
Wareham,03100000,"   1,357",  14.3,"      2,144",  49.5,  50.4,   1.2,  25.3,  54.0
Watertown,03140000,"   1,490",  16.6,"      2,717",  48.6,  51.4,  13.3,  18.2,  27.5
Wayland,03150000,"   1,381",  16.8,"      2,721",  50.1,  49.9,   3.2,  18.2,   5.9
Webster,03160000,     731,  18.0,"      1,824",  48.7,  51.2,  10.9,  20.6,  58.7
Wellesley,03170000,"   2,443",  17.8,"      4,908",  50.9,  49.1,   2.1,  15.8,   5.7
Wellfleet,03180000,      69,  15.8,        104,  46.2,  53.9,   1.0,  14.4,  30.8
West Boylston,03220000,     550,  15.4,        912,  51.1,  48.9,   3.8,  17.2,  22.5
West Bridgewater,03230000,     774,  19.3,"      1,381",  51.2,  48.8,   1.3,  10.4,  17.5
West Springfield,03320000,"   1,814",  17.3,"      4,139",  49.0,  51.0,  11.4,  18.2,  48.3
Westborough,03210000,"   2,017",  17.2,"      3,968",  49.1,  50.8,  13.2,  15.6,  11.6
Westfield,03250000,"   2,867",  16.8,"      5,308",  48.0,  52.0,   5.5,  20.6,  39.8
Westford,03260000,"   2,275",  17.8,"      4,970",  49.2,  50.7,   1.9,  15.2,   6.0
Westhampton,03270000,      57,  15.8,        121,  46.3,  53.7,    .8,  24.0,  19.0
Weston,03300000,"   1,038",  16.3,"      2,047",  48.9,  51.1,   3.6,  17.2,   5.9
Westport,03310000,     782,  16.5,"      1,430",  46.3,  53.7,    .9,  18.2,  24.8
Westwood,03350000,"   1,432",  17.2,"      3,032",  49.4,  50.6,   1.0,  18.8,   5.5
Weymouth,03360000,"   2,332",  18.0,"      5,900",  49.8,  50.2,   5.5,  20.4,  32.6
Whately,03370000,      87,  15.3,        129,  48.8,  51.2,   3.9,  14.7,  17.8
Whitman-Hanson,07800000,"   1,375",  21.6,"      3,798",  48.5,  51.6,   1.1,  15.4,  20.6
Whittier Regional Vocational Technical,08850000,     604,  15.3,"      1,247",  46.0,  53.8,   1.6,  19.8,  31.1
Williamsburg,03400000,      63,  19.0,        144,  52.8,  47.2,   1.4,  19.4,  25.7
Wilmington,03420000,"   1,800",  17.7,"      3,167",  48.6,  51.4,    .9,  16.3,  10.1
Winchendon,03430000,     435,  17.9,"      1,237",  46.7,  53.4,   1.2,  21.7,  45.1
Winchester,03440000,"   2,416",  19.3,"      4,722",  50.0,  50.0,   3.1,  15.7,   5.4
Winthrop,03460000,     698,  20.5,"      1,998",  51.1,  48.9,   7.1,  14.9,  29.3
Woburn,03470000,"   2,711",  16.8,"      4,544",  50.3,  49.7,   9.2,  17.4,  30.2
Worcester,03480000,"  12,818",  15.6,"     25,186",  48.6,  51.4,  32.4,  20.0,  61.9
Worthington,03490000,      50,  10.6,         94,  48.9,  51.1,    .0,  20.2,  38.3
Wrentham,03500000,     422,  18.2,        967,  48.4,  51.6,   2.5,  19.7,  10.1
